City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Cabedelo,BR,2020-07-10 00:09:33,-6.98,-34.83,75.2,94,20,4.7,few clouds,0.0,0
1,Bonavista,CA,2020-07-10 00:09:33,48.65,-53.11,53.01,86,100,7.0,overcast clouds,0.0,0
2,Lons-Le-Saunier,FR,2020-07-10 00:09:33,46.75,5.75,66.99,82,21,3.24,few clouds,0.0,0
3,Victoria,HK,2020-07-10 00:05:24,22.29,114.16,88.0,74,100,11.99,overcast clouds,0.0,0
4,Mar Del Plata,AR,2020-07-10 00:06:17,-38.0,-57.56,46.99,70,100,10.29,overcast clouds,0.0,0
5,Nikolskoye,RU,2020-07-10 00:09:33,59.7,30.79,51.8,81,20,8.95,few clouds,0.0,0
6,Rikitea,PF,2020-07-10 00:09:34,-23.12,-134.97,67.8,72,5,23.22,light rain,0.12,0
7,Pevek,RU,2020-07-10 00:09:34,69.7,170.31,43.0,100,100,0.96,light rain,0.11,0
8,Jamestown,US,2020-07-10 00:06:53,42.1,-79.24,82.99,61,1,3.36,clear sky,0.0,0
9,Mataura,NZ,2020-07-10 00:09:34,-46.19,168.86,46.38,87,96,7.14,overcast clouds,0.0,0
10,Severo-Kurilsk,RU,2020-07-10 00:09:34,50.68,156.12,49.55,94,100,7.7,light rain,0.39,0
11,Faanui,PF,2020-07-10 00:09:34,-16.48,-151.75,76.59,79,35,24.58,scattered clouds,0.0,0
12,Ushuaia,AR,2020-07-10 00:09:34,-54.8,-68.3,35.6,74,40,11.41,scattered clouds,0.0,0
13,Qaanaaq,GL,2020-07-10 00:09:35,77.48,-69.36,47.82,53,99,1.43,overcast clouds,0.0,0
14,Cape Town,ZA,2020-07-10 00:06:59,-33.93,18.42,52.0,93,75,12.75,moderate rain,1.27,0
15,Byron Bay,AU,2020-07-10 00:09:35,-28.65,153.62,60.8,93,90,9.17,overcast clouds,0.0,0
16,Hobart,AU,2020-07-10 00:09:35,-42.88,147.33,42.01,93,75,6.93,broken clouds,0.0,0
17,Palauig,PH,2020-07-10 00:09:35,15.44,119.9,85.15,70,98,4.68,overcast clouds,0.0,0
18,Yulara,AU,2020-07-10 00:09:35,-25.24,130.99,44.6,39,0,5.82,clear sky,0.0,0
19,Muros,ES,2020-07-10 00:09:35,42.78,-9.06,64.99,80,30,4.0,scattered clouds,0.0,0
20,Rio Grande,BR,2020-07-10 00:09:36,-32.03,-52.1,39.99,96,0,11.72,clear sky,0.0,0
21,Saint George,US,2020-07-10 00:09:19,37.1,-113.58,102.99,5,1,10.29,clear sky,0.0,0
22,Pato Branco,BR,2020-07-10 00:09:36,-26.23,-52.67,43.27,93,0,3.0,clear sky,0.0,0
23,Bluff,NZ,2020-07-10 00:09:36,-46.6,168.33,50.16,79,78,16.11,broken clouds,0.0,0
24,Maniitsoq,GL,2020-07-10 00:09:36,65.42,-52.9,40.28,97,100,9.98,light rain,0.14,0
25,Puerto Ayora,EC,2020-07-10 00:09:36,-0.74,-90.35,68.0,91,67,1.99,broken clouds,0.0,0
26,Hermanus,ZA,2020-07-10 00:09:36,-34.42,19.23,50.0,92,100,13.31,moderate rain,1.49,0
27,Evensk,RU,2020-07-10 00:09:37,61.95,159.23,55.6,86,99,1.7,overcast clouds,0.0,0
28,Myurego,RU,2020-07-10 00:09:37,42.41,47.69,80.6,54,20,8.95,few clouds,0.0,0
29,Ahipara,NZ,2020-07-10 00:09:37,-35.17,173.17,56.32,69,68,5.91,light rain,0.13,0
30,Tuktoyaktuk,CA,2020-07-10 00:09:37,69.45,-133.04,39.2,86,90,10.29,overcast clouds,0.0,0
31,Vaini,TO,2020-07-10 00:09:37,-21.2,-175.2,75.2,88,75,5.82,broken clouds,0.0,0
32,Lebu,CL,2020-07-10 00:09:38,-37.62,-73.65,53.82,94,100,23.96,moderate rain,2.2,0
33,Pisco,PE,2020-07-10 00:09:38,-13.7,-76.22,62.6,72,20,13.87,few clouds,0.0,0
34,Joshimath,IN,2020-07-10 00:09:38,30.57,79.57,67.42,60,99,0.45,light rain,0.14,0
35,Albany,US,2020-07-10 00:09:38,42.6,-73.97,87.01,58,0,3.83,clear sky,0.0,0
36,Kapaa,US,2020-07-10 00:09:38,22.08,-159.32,80.6,78,75,6.93,broken clouds,0.0,0
37,Egvekinot,RU,2020-07-10 00:09:38,66.32,-179.17,51.37,74,90,4.43,overcast clouds,0.0,0
38,Srednekolymsk,RU,2020-07-10 00:09:38,67.45,153.68,67.95,54,48,2.64,scattered clouds,0.0,0
39,Tambilil,PH,2020-07-10 00:09:38,5.96,124.67,85.87,60,98,0.72,overcast clouds,0.0,0
40,Kambove,CD,2020-07-10 00:09:39,-10.88,26.6,56.34,58,0,3.29,clear sky,0.0,0
41,General Macarthur,PH,2020-07-10 00:09:39,11.25,125.54,85.12,70,96,4.72,overcast clouds,0.0,0
42,Tiksi,RU,2020-07-10 00:09:39,71.69,128.87,36.39,88,82,9.71,broken clouds,0.0,0
43,Pochutla,MX,2020-07-10 00:09:39,15.74,-96.47,93.2,52,90,5.97,overcast clouds,0.0,0
44,Talnakh,RU,2020-07-10 00:09:39,69.49,88.4,53.6,93,18,26.84,few clouds,0.0,0
45,Airai,TL,2020-07-10 00:09:39,-8.93,125.41,63.73,81,85,4.56,overcast clouds,0.0,0
46,Kieta,PG,2020-07-10 00:09:39,-6.22,155.63,83.64,72,100,8.43,moderate rain,2.07,0
47,Busselton,AU,2020-07-10 00:09:39,-33.65,115.33,37.0,88,0,7.56,clear sky,0.0,0
48,Sumbe,AO,2020-07-10 00:09:40,-11.21,13.84,69.53,86,12,6.06,few clouds,0.0,0
49,Broken Hill,AU,2020-07-10 00:09:40,-31.95,141.43,57.2,62,93,5.82,overcast clouds,0.0,0
50,Ampanihy,MG,2020-07-10 00:09:40,-24.7,44.75,62.29,64,0,5.88,clear sky,0.0,0
51,Praia Da Vitoria,PT,2020-07-10 00:09:40,38.73,-27.07,68.0,82,75,5.39,broken clouds,0.0,0
52,Sarangani,PH,2020-07-10 00:09:40,5.4,125.46,83.77,76,98,12.91,moderate rain,1.62,0
53,Bredasdorp,ZA,2020-07-10 00:09:40,-34.53,20.04,50.0,92,100,10.16,light rain,0.49,0
54,Arraial Do Cabo,BR,2020-07-10 00:09:40,-22.97,-42.03,71.6,78,75,10.29,broken clouds,0.0,0
55,Zhangjiakou,CN,2020-07-10 00:09:41,40.81,114.88,63.46,77,35,7.76,scattered clouds,0.0,0
56,Karwar,IN,2020-07-10 00:09:41,14.8,74.13,78.17,86,100,6.46,light rain,0.99,0
57,Chokurdakh,RU,2020-07-10 00:09:41,70.63,147.92,59.13,58,100,9.42,overcast clouds,0.0,0
