City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,Cabedelo,BR,75.2,-6.98,-34.83,few clouds,Lua Mansa Pousada
1,Bonavista,CA,53.01,48.65,-53.11,overcast clouds,Abbott's Bed & Breakfast
2,Lons-Le-Saunier,FR,66.99,46.75,5.75,few clouds,"Gîte ""La cabane du berger"""
4,Mar Del Plata,AR,46.99,-38.0,-57.56,overcast clouds,Gran Hotel Mar del Plata habitaciones
5,Nikolskoye,RU,51.8,59.7,30.79,few clouds,Tourist House - Sablino
6,Rikitea,PF,67.8,-23.12,-134.97,light rain,Pension Maro'i
7,Pevek,RU,43.0,69.7,170.31,light rain,Severnoye Zoloto
9,Mataura,NZ,46.38,-46.19,168.86,overcast clouds,Ellie's Villa
10,Severo-Kurilsk,RU,49.55,50.68,156.12,light rain,Kak Doma
11,Faanui,PF,76.59,-16.48,-151.75,scattered clouds,Bora-Bora Pearl Beach Resort & Spa
13,Qaanaaq,GL,47.82,77.48,-69.36,overcast clouds,Qaanaaq Hotel
14,Cape Town,ZA,52.0,-33.93,18.42,moderate rain,Southern Sun Waterfront Cape Town
15,Byron Bay,AU,60.8,-28.65,153.62,overcast clouds,Backpackers Inn on the Beach
16,Hobart,AU,42.01,-42.88,147.33,broken clouds,St Ives Apartments
18,Yulara,AU,44.6,-25.24,130.99,clear sky,Desert Gardens Hotel - Ayers Rock Resort
19,Muros,ES,64.99,42.78,-9.06,scattered clouds,Apartment Av. Castelao
22,Pato Branco,BR,43.27,-26.23,-52.67,clear sky,Luz Hotel Pato Branco
23,Bluff,NZ,50.16,-46.6,168.33,broken clouds,Bluff Homestead - Guesthouse & Campervan Park
24,Maniitsoq,GL,40.28,65.42,-52.9,light rain,Hotel Heilmann Lyberth
25,Puerto Ayora,EC,68.0,-0.74,-90.35,broken clouds,Finch Bay Galapagos Hotel
26,Hermanus,ZA,50.0,-34.42,19.23,moderate rain,Misty Waves Boutique Hotel
27,Evensk,RU,55.6,61.95,159.23,overcast clouds,
29,Ahipara,NZ,56.32,-35.17,173.17,light rain,Ahipara Holiday Park
31,Vaini,TO,75.2,-21.2,-175.2,broken clouds,Keleti Beach Resort
32,Lebu,CL,53.82,-37.62,-73.65,moderate rain,Hostal Las Lilas
33,Pisco,PE,62.6,-13.7,-76.22,few clouds,Hostal San Isidro Oficial
34,Joshimath,IN,67.42,30.57,79.57,light rain,Shivalik Camps & Resort
37,Egvekinot,RU,51.37,66.32,-179.17,overcast clouds,
38,Srednekolymsk,RU,67.95,67.45,153.68,scattered clouds,
40,Kambove,CD,56.34,-10.88,26.6,clear sky,Couvant des soeurs catholiques
44,Talnakh,RU,53.6,69.49,88.4,few clouds,Talnakh Hotel
45,Airai,TL,63.73,-8.93,125.41,overcast clouds,Juvinal Martin
48,Sumbe,AO,69.53,-11.21,13.84,few clouds,Hotel Ritz Sumbe
49,Broken Hill,AU,57.2,-31.95,141.43,overcast clouds,Daydream Motel & Cottages
50,Ampanihy,MG,62.29,-24.7,44.75,clear sky,Angora Hotel
