City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Chuy,UY,2020-07-08 02:44:09,-33.7,-53.46,50.88,74,100,8.63
1,Peniche,PT,2020-07-08 02:44:09,39.36,-9.38,64.99,85,88,5.01
2,San Juan,AR,2020-07-08 02:44:10,-31.54,-68.54,41.95,65,0,3.36
3,Botwood,CA,2020-07-08 02:44:10,49.15,-55.35,60.8,77,20,10.29
4,Cabo San Lucas,MX,2020-07-08 02:41:56,22.89,-109.91,91.4,45,5,11.41
5,Souillac,MU,2020-07-08 02:44:10,-20.52,57.52,71.6,83,75,8.05
6,Cape Town,ZA,2020-07-08 02:39:27,-33.93,18.42,43.0,93,12,5.82
7,Butaritari,KI,2020-07-08 02:44:10,3.07,172.79,83.59,72,4,11.77
8,Bushehr,IR,2020-07-08 02:44:10,28.97,50.84,86.0,84,0,6.93
9,Provideniya,RU,2020-07-08 02:44:10,64.38,-173.3,44.6,93,90,8.95
10,Surt,LY,2020-07-08 02:44:11,31.21,16.59,73.2,83,0,7.99
11,Rikitea,PF,2020-07-08 02:44:11,-23.12,-134.97,68.99,79,75,19.01
12,Rocha,UY,2020-07-08 02:44:11,-34.48,-54.33,46.49,75,100,6.15
13,Albany,US,2020-07-08 02:40:12,42.6,-73.97,73.99,70,27,8.12
14,Te Anau,NZ,2020-07-08 02:44:11,-45.42,167.72,40.03,86,76,2.82
15,North Bend,US,2020-07-08 02:44:11,43.41,-124.22,68.0,72,20,9.17
16,Puerto Ayora,EC,2020-07-08 02:44:11,-0.74,-90.35,69.01,94,62,5.01
17,Esperance,AU,2020-07-08 02:44:12,-33.87,121.9,58.23,65,34,19.3
18,Sampit,ID,2020-07-08 02:44:12,-2.53,112.95,86.47,65,19,4.97
19,Kushmurun,KZ,2020-07-08 02:44:12,52.45,64.63,74.08,63,18,5.28
20,Saint George,US,2020-07-08 02:40:23,37.1,-113.58,100.4,5,1,20.8
21,Port Alfred,ZA,2020-07-08 02:44:12,-33.59,26.89,53.01,87,4,4.0
22,Kousseri,CM,2020-07-08 02:44:12,12.08,15.03,73.4,88,74,1.12
23,Carnarvon,AU,2020-07-08 02:44:12,-24.87,113.63,66.2,45,0,17.22
24,Aripuana,BR,2020-07-08 02:44:13,-9.17,-60.63,73.09,60,0,1.19
25,Khatanga,RU,2020-07-08 02:44:13,71.97,102.5,60.53,46,20,15.57
26,Banepa,NP,2020-07-08 02:44:13,27.63,85.52,75.2,88,40,2.24
27,Olinda,BR,2020-07-08 02:44:13,-8.01,-34.86,73.4,88,40,3.36
28,Lianzhou,CN,2020-07-08 02:44:13,24.78,112.38,88.65,65,96,5.39
29,Beloha,MG,2020-07-08 02:44:13,-25.17,45.05,59.83,94,0,6.04
30,Mnogovershinnyy,RU,2020-07-08 02:44:14,53.94,139.92,53.8,85,100,5.41
31,Laguna,US,2020-07-08 02:44:14,38.42,-121.42,91.4,22,1,8.05
32,Vostok,RU,2020-07-08 02:44:14,46.49,135.88,64.9,91,99,2.28
33,Sitka,US,2020-07-08 02:44:14,57.05,-135.33,55.4,87,75,4.7
34,Jamestown,US,2020-07-08 02:44:14,42.1,-79.24,73.4,78,1,6.93
35,Qaanaaq,GL,2020-07-08 02:44:14,77.48,-69.36,45.19,59,0,0.22
36,Ribeira Grande,PT,2020-07-08 02:44:15,38.52,-28.7,68.94,85,18,1.43
37,Kapaa,US,2020-07-08 02:39:37,22.08,-159.32,82.99,74,75,12.75
38,Saint-Philippe,RE,2020-07-08 02:44:15,-21.36,55.77,71.6,94,75,16.11
39,Busselton,AU,2020-07-08 02:44:15,-33.65,115.33,60.01,98,12,10.09
40,Port Macquarie,AU,2020-07-08 02:44:15,-31.43,152.92,63.0,76,82,3.0
41,Nikolskoye,RU,2020-07-08 02:44:15,59.7,30.79,57.2,82,100,2.24
42,East London,ZA,2020-07-08 02:44:15,-33.02,27.91,57.02,63,88,7.83
43,Beyneu,KZ,2020-07-08 02:44:15,45.32,55.2,87.33,27,0,5.21
44,Puerto Ayacucho,VE,2020-07-08 02:44:16,5.66,-67.62,74.8,91,96,3.31
45,Preobrazheniye,RU,2020-07-08 02:44:16,42.9,133.91,71.24,63,3,6.46
46,Bredasdorp,ZA,2020-07-08 02:44:16,-34.53,20.04,43.9,85,54,3.71
47,Thompson,CA,2020-07-08 02:44:16,55.74,-97.86,73.4,49,40,3.36
48,Gigmoto,PH,2020-07-08 02:44:16,13.78,124.39,87.04,68,64,5.64
49,Ilyich,KZ,2020-07-08 02:44:17,40.85,68.51,81.45,23,100,1.72
50,Eenhana,NA,2020-07-08 02:44:17,-17.47,16.33,46.49,46,0,6.67
51,Tuatapere,NZ,2020-07-08 02:44:17,-46.13,167.68,39.0,83,99,3.0
52,Avarua,CK,2020-07-08 02:44:17,-21.21,-159.78,75.2,64,38,17.22
53,Atuona,PF,2020-07-08 02:44:17,-9.8,-139.03,79.66,74,14,10.89
54,Husavik,IS,2020-07-08 02:44:17,66.04,-17.34,46.4,75,40,5.82
55,Sept-Iles,CA,2020-07-08 02:42:42,50.2,-66.38,60.01,93,90,6.93
56,Dunedin,NZ,2020-07-08 02:44:18,-45.87,170.5,39.0,86,100,25.99
57,Olafsvik,IS,2020-07-08 02:44:18,64.89,-23.71,46.8,81,87,12.77
58,Oktyabrskoye,RU,2020-07-08 02:44:18,43.06,44.74,66.2,72,29,4.47
59,Beringovskiy,RU,2020-07-08 02:44:18,63.05,179.32,52.86,73,95,7.61
60,Terralba,IT,2020-07-08 02:44:18,39.72,8.64,66.2,88,0,3.36
61,Ushuaia,AR,2020-07-08 02:44:18,-54.8,-68.3,41.0,82,75,21.92
62,Torbay,CA,2020-07-08 02:44:18,47.67,-52.73,48.0,87,40,9.17
